127.0.0.1 - - [10/Mar/2015:14:28:43 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Mar/2015:14:28:45 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 251
192.168.161.205 - - [10/Mar/2015:14:28:49 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 251
192.168.161.205 - - [10/Mar/2015:14:29:20 +0530] "PUT /com.pcsma/mysample?name=siddh&index=4&link=shshs&length=shsbs&author=hshs&rating=5 HTTP/1.1" 200 19
192.168.161.205 - - [10/Mar/2015:14:29:34 +0530] "POST /com.pcsma/mysample HTTP/1.1" 200 28
192.168.161.205 - - [10/Mar/2015:14:29:38 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 277
192.168.161.205 - - [10/Mar/2015:14:30:04 +0530] "DELETE /com.pcsma/mysample?index=3 HTTP/1.1" 200 30
192.168.161.205 - - [10/Mar/2015:14:30:07 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 251
192.168.161.205 - - [10/Mar/2015:14:32:56 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 251
192.168.161.205 - - [10/Mar/2015:14:33:12 +0530] "PUT /com.pcsma/mysample?name=xh&index=2&link=fvv&length=chj&author=tvv&rating=2 HTTP/1.1" 200 29
192.168.161.205 - - [10/Mar/2015:14:33:15 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 191
192.168.161.205 - - [10/Mar/2015:14:33:35 +0530] "POST /com.pcsma/mysample HTTP/1.1" 200 28
192.168.161.205 - - [10/Mar/2015:14:33:45 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 211
192.168.161.205 - - [10/Mar/2015:14:33:46 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 211
192.168.161.205 - - [10/Mar/2015:14:33:53 +0530] "DELETE /com.pcsma/mysample?index=4 HTTP/1.1" 200 18
192.168.161.205 - - [10/Mar/2015:14:33:57 +0530] "DELETE /com.pcsma/mysample?index=3 HTTP/1.1" 200 30
192.168.161.205 - - [10/Mar/2015:14:34:03 +0530] "GET /com.pcsma/mysample HTTP/1.1" 200 191
